Date,1,2,3,4,5,6,7,8,9,10,11,12
02/03/1973,643,727,615,605,563,563,626,680,771,700,735,860
03/03/1973,727,615,605,563,563,626,680,771,700,735,860,823
04/03/1973,615,605,563,563,626,680,771,700,735,860,823,841
05/03/1973,605,563,563,626,680,771,700,735,860,823,841,958
06/03/1973,563,563,626,680,771,700,735,860,823,841,958,812
07/03/1973,563,626,680,771,700,735,860,823,841,958,812,749
08/03/1973,626,680,771,700,735,860,823,841,958,812,749,683
09/03/1973,680,771,700,735,860,823,841,958,812,749,683,617
